slug,state,system,investor_accessible,max_rate,penalty_or_interest,redemption_period,statute,official_source,Effective Yield,Penalty Structure,Redemption Speed,Auction Access,Low Competition,Low Capital Entry,Process Safety,Legal Stability,OTC Availability,composite_score
alabama,Alabama,lien,true,12% bid-down,interest,3yr min 10yr,Ala. Code §40-10-180,https://law.justia.com/codes/alabama/title-40/chapter-10/article-7/,5,4,3,8,4,9,3,5,9,5.6
alaska,Alaska,deed,false,N/A,interest,N/A,AS §29.45.300,https://www.akleg.gov/basis/statutes.asp#29.45.300,1,1,2,1,2,2,3,8,2,2.4
arizona,Arizona,lien,true,16%/yr simple bid-down,interest,3yr min 10yr max,ARS §§42-18101 to 42-18204,https://www.to.pima.gov/taxLienSale/,5,3,2,9,3,9,5,9,9,6
arkansas,Arkansas,deed,true,N/A,interest,N/A,Ark. Code §26-37-101,https://www.cosl.org/Home/Buyers,2,1,2,8,5,5,3,7,8,4.6
california,California,deed,true,"N/A (deed sale; delinquency penalties go to county, not buyer)",penalty,"None (terminates close of business last business day before sale, RTC 3707)",Cal. Rev. Tax. Code §3700,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3707,2,1,2,8,3,3,3,8,2,3.6
colorado,Colorado,lien,true,"Fed discount rate +9 pts, set each Sept 1 (14% for 2025); premium bids earn 0%",interest,3yr from sale before treasurer's deed application,CRS §39-12-101,https://www.co.routt.co.us/1004/Tax-Lien-Sale,4,3,2,8,4,9,4,4,8,5.1
connecticut,Connecticut,redeemable-deed,true,18%/yr flat on total purchase price from sale date,interest,"6mo (60d if abandoned, by ordinance)",Conn. Gen. Stat. §12-195,https://codes.findlaw.com/ct/title-12-taxation/ct-gen-st-sect-12-157/,7,5,9,4,6,3,7,8,2,5.7
delaware,Delaware,redeemable-deed,true,15% penalty,penalty,60d to 1yr,Del. Code tit.9 §8723,https://delcode.delaware.gov/title9/c087/,8,8,9,3,6,3,6,8,2,5.9
district-of-columbia,District of Columbia,lien,true,"18%/yr (1.5%/mo) fixed; premium bidding, no interest on surplus",interest,6mo,DC Code §47-1330,https://code.dccouncil.gov/us/dc/council/code/sections/47-1348,5,5,9,5,3,6,4,6,5,5.3
florida,Florida,lien,true,18% max 5% min,interest,2yr,Fla. Stat. §197.432,https://www.flsenate.gov/laws/statutes/2024/197.432,6,5,5,9,3,9,6,9,7,6.6
georgia,Georgia,redeemable-deed,true,20% penalty flat,penalty,12mo,Ga. Code Ann. §48-4-42,https://law.justia.com/codes/georgia/title-48/chapter-4/,8,9,7,5,5,3,4,8,2,5.7
hawaii,Hawaii,redeemable-deed,true,Up to 12%,interest,1yr,HRS §231-67,https://law.justia.com/codes/hawaii/title-14/chapter-231/section-231-67/,5,5,7,3,6,2,4,7,2,4.6
idaho,Idaho,deed,false,N/A,interest,N/A,Idaho Code §63-1001,https://legislature.idaho.gov/,1,1,2,2,6,2,4,8,2,3.1
illinois,Illinois,lien,true,"9% max penalty bid per 6-month period (P.A. 102-363, eff. 1-1-2022)",interest,1yr (vacant/commercial) to 2.5yr (default),35 ILCS 200/21-215,https://ilga.gov/documents/legislation/ilcs/documents/003502000K21-215.htm,7,7,4,5,3,7,3,4,6,5.1
indiana,Indiana,lien,true,"10%/15% flat penalty on min bid + 5%/yr on overbid (premium bidding, not bid-down)",interest,1yr,Ind. Code §6-1.1-24,https://taxsalewealth.com/indiana-tax-lien.html,6,7,7,7,5,8,4,7,7,6.4
iowa,Iowa,lien,true,2%/month 24%/yr,interest,1yr 9mo,Iowa Code §447.1,https://www.legis.iowa.gov/,8,6,5,6,4,9,6,8,6,6.4
kansas,Kansas,deed,false,N/A,interest,N/A,K.S.A. §79-2801 (judicial foreclosure and sheriff's sale is the operative investor-facing statute),https://ksrevisor.gov/statutes/chapters/ch79/079_028_0001.html,1,1,2,2,6,2,5,8,2,3.2
kentucky,Kentucky,lien,true,"12% simple interest flat, certs sold at face value — not bid down (KRS 134.125)",interest,1yr,KRS §134.420,https://kentoncountykyclerk.com/delinquent-property-tax/,6,4,5,4,5,8,4,7,6,5.4
louisiana,Louisiana,lien,true,Bid-down monthly interest 1% to 0.7% (12% to 8.4%/yr) + flat 5% penalty (system eff. 1/1/2026),interest,3yr,"Unverified: 2024 overhaul act (eff. 1/1/2026) rewrote the tax sale articles; statute text could not be fetched (Justia 403), so exact section not confirmed",https://jurisdeed.com/blog/major-overhaul-for-louisiana-tax-lien-investors--what-you-need-to-know,6,6,2,6,5,8,4,3,4,4.9
maine,Maine,deed,false,N/A,interest,18mo,36 MRS §942,https://legislature.maine.gov/,1,1,2,1,1,3,3,6,2,2.2
maryland,Maryland,lien,true,"6-18%/yr, set per county (Balt City 18%, Anne Arundel 18%, Balt County 12%, Allegany 6%)",interest,Redeemable until foreclosure decree; suit filable after 6mo (9mo Balt City owner-occupied),Md. Code Tax-Prop. §14-801,https://dat.maryland.gov/pages/tax-sale-information.aspx,6,4,8,7,3,8,4,7,4,5.7
massachusetts,Massachusetts,hybrid,false,8% per annum on tax titles (MGL c.60 §62; cut from 16% for titles after 11/1/2024),interest,12mo wait before Land Court foreclosure petition; redeemable until decree,MGL ch.60 §1,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIX/Chapter60/Section65,1,1,2,1,1,3,3,3,2,1.9
michigan,Michigan,deed,false,N/A,interest,Until March 31 following the foreclosure judgment (roughly 2yr from delinquency); then title vests in the county,MCL §211.78,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-211-78g,1,1,2,1,2,2,3,5,2,2.1
minnesota,Minnesota,deed,false,N/A,interest,3yr from tax-judgment sale to the state (1yr for certain targeted/non-homestead classes) per Minn. Stat. 281.17,Minn. Stat. §279.01,https://www.revisor.mn.gov/statutes/cite/281.17,1,1,2,1,2,2,3,3,2,1.9
mississippi,Mississippi,lien,true,18%/yr (1.5%/mo) on face value; premium/overbid amounts earn 0% and are forfeited,interest,2yr,Miss. Code §27-41-1,https://govease.helpscoutdocs.com/article/130-mississippi-tax-sale-overview,7,5,5,9,4,9,4,8,8,6.6
missouri,Missouri,lien,true,Up to 10%,interest,1yr,§140.340 RSMo,https://revisor.mo.gov/,4,3,7,4,6,8,4,8,4,5.3
montana,Montana,lien,true,"10%/yr (5/6 of 1% per month, accrues daily) + flat 2% delinquency penalty; no bid-down",interest,3yr from lien attachment (habitable dwelling/commercial) or 2yr (bare land),Mont. Code Ann. §15-17-125 (lien attachment) and §15-17-323 (assignment to investors),https://mca.legmt.gov/bills/mca/title_0150/chapter_0170/part_0030/section_0230/0150-0170-0030-0230.html,5,4,2,5,8,9,4,5,9,5.7
nebraska,Nebraska,lien,true,14% flat (bidding is by round-robin or undivided-percentage under §77-1807; the rate itself is never bid down),interest,3yr,Neb. Rev. Stat. §77-1801,https://nebraskalegislature.gov/laws/statutes.php?statute=77-1807,6,5,2,3,6,9,5,4,8,5.3
nevada,Nevada,deed,false,N/A,interest,N/A,NRS §361.585,https://www.leg.state.nv.us/,1,1,2,1,3,2,3,8,2,2.6
new-hampshire,New Hampshire,lien,false,Up to 14%,interest,"2yr (tax deed issues 2 years after lien execution, RSA 80:76)",RSA §80:1,https://gc.nh.gov/rsa/html/v/80/80-76.htm,1,1,2,1,2,2,3,6,2,2.2
new-jersey,New Jersey,lien,true,18% premium system,interest,6mo to 2yr,NJSA §54:5-1,https://www.njleg.state.nj.us/,4,6,5,7,3,7,4,5,4,5
new-mexico,New Mexico,deed,false,N/A,interest,N/A,NMSA §7-38-1,https://nmonesource.com/,1,1,2,3,5,2,3,8,2,3
new-york,New York,hybrid,true,"Varies by venue: Nassau County liens up to 10% of purchase price per 6-month period (first 24 months); NYC 6-16% tiered but sold only to an institutional trust; most counties sell deeds, not liens",interest,2yr,NY RPTL Art. 11 (§§1100-1194; redemption at §1110),https://law.justia.com/codes/new-york/rpt/article-11/title-2/1110/,3,3,5,3,3,6,4,4,2,3.7
north-carolina,North Carolina,deed,false,N/A,interest,N/A,NCGS §§105-374 (mortgage-style foreclosure) and 105-375 (in rem foreclosure) - these govern tax foreclosure of real property; §105-368 is attachment/garnishment of personal property,https://www.ncleg.net/enactedlegislation/statutes/html/bysection/chapter_105/gs_105-374.html,1,1,2,3,5,2,4,8,2,3.1
north-dakota,North Dakota,deed,false,N/A,interest,N/A,"NDCC ch. 57-28 (§57-28-01, foreclosure of tax lien / county tax deed) - private lien sales abolished in 1999",https://ndlegis.gov/cencode/t57c28.pdf,1,1,2,3,7,3,4,8,3,3.6
ohio,Ohio,lien,false,18% - public auctions start bidding at 18% simple interest bid down in 0.25% increments (ORC 5721.32); negotiated bulk sales set rate up to 18% (ORC 5721.33),interest,Varies,ORC §5721.30,https://codes.ohio.gov/ohio-revised-code/section-5721.32,2,2,4,1,2,1,4,7,2,2.8
oklahoma,Oklahoma,deed,false,N/A,interest,None post-sale (owner may redeem only before resale auction begins),68 OS §3101,https://www.oklahomacounty.org/elected-offices/treasurer,1,1,2,3,6,3,4,7,3,3.3
oregon,Oregon,deed,false,N/A,interest,N/A,ORS §312.010,https://www.oregonlegislature.gov/,1,1,2,1,3,2,3,8,2,2.6
pennsylvania,Pennsylvania,deed,false,N/A,interest,N/A,72 PS §5860.101,https://www.legis.state.pa.us/,1,1,2,3,5,3,2,6,3,2.9
rhode-island,Rhode Island,redeemable-deed,true,"10% flat penalty if redeemed within 6mo, +1%/mo after (16% at 1yr)",interest,1yr,RIGL §44-9-1,https://webserver.rilegislature.gov/Statutes/TITLE44/44-9/44-9-19.htm,7,8,7,4,6,5,4,6,2,5.4
south-carolina,South Carolina,redeemable-deed,true,Up to 12%,interest,12mo,SC Code §12-51-40,https://www.scstatehouse.gov/,5,6,7,5,4,5,5,7,4,5.3
south-dakota,South Dakota,lien,false,"10% max, bid down (SDCL 10-23-8)",interest,3yr uniform (SDCL 10-25-1),SDCL §10-23-1,https://sdlegislature.gov/api/Statutes/Statute/10-23-28.1,3,3,2,2,7,8,5,7,3,4.4
tennessee,Tennessee,redeemable-deed,true,12% per annum on full purchase price (T.C.A. 67-5-2701),interest,"1yr, reducible to 180/90/30 days by delinquency length or vacancy",Tenn. Code §67-5-2701,https://www.ctas.tennessee.edu/eli/redemption,6,5,7,6,5,3,4,7,3,5.1
texas,Texas,redeemable-deed,true,25% flat premium yr-1 / 50% yr-2 (homestead-ag); 25% within 180d for other property,penalty,180d/2yr,Tex. Prop. Tax Code §34.21,https://texas.public.law/statutes/tex._tax_code_section_34.21,10,10,9,6,4,3,6,8,4,6.7
utah,Utah,deed,false,N/A,interest,N/A,Utah Code §59-2-1351.1 (final tax sale),https://auditor.utahcounty.gov/may-tax-sale/policies,1,1,2,4,4,3,4,8,2,3.2
vermont,Vermont,lien,true,Up to 12%,interest,1yr,"32 V.S.A. §5260 (tax sales under ch. 133, §§5251-5263)",https://guilfordvt.gov/guilford-delinquent-property-tax-sale-information/,5,4,7,3,8,5,3,5,2,4.7
virginia,Virginia,deed,false,N/A,interest,N/A,Va. Code §58.1-3965,https://law.lis.virginia.gov/,1,1,2,4,5,2,6,8,2,3.4
washington,Washington,deed,false,N/A,interest,N/A,RCW §84.64.030,https://app.leg.wa.gov/,1,1,2,5,4,2,5,8,2,3.3
west-virginia,West Virginia,lien,false,12% (1%/mo simple on taxes/charges paid),interest,Until tax deed issues (~18mo after Auditor sale),WV Code §11A-3-1,https://code.wvlegislature.gov/11A-3-56/,4,4,6,5,6,8,4,4,6,5.2
wisconsin,Wisconsin,deed,false,N/A,interest,N/A,Wis. Stat. §75.521 (in rem foreclosure of tax liens),https://www.ocontocountywi.gov/416/In-Rem-Foreclosure-of-Tax-Liens,1,1,2,3,6,2,6,7,2,3.3
wyoming,Wyoming,lien,true,15% fixed + 3% penalty (random buyer draw; no bid-down),interest,"4yr (tax deed application after year 4, bar at year 6)",Wyo. Stat. §39-13-108(e),https://www.sweetwatercountywy.gov/departments/treasurer/tax_sales_and_redemptions.php,7,6,2,3,8,8,6,8,5,5.9
